"from","to","weight","agreement_rate","total_votes","width","color"
"PvdD","BBB",303,0.513559322033898,590,1.54855195911414,"#80808014"
"JA21","PvdD",257,0.437819420783646,587,1.31345826235094,"#80808014"
"PvdD","Volt",501,0.852040816326531,588,2.56047700170358,"#808080D9"
"PvdD","SP",498,0.848381601362862,587,2.54514480408859,"#808080D9"
"PvdD","GroenLinks",525,0.889830508474576,590,2.68313458262351,"#808080D9"
"PvdD","DENK",443,0.753401360544218,588,2.26405451448041,"#808080D9"
"FVD","PvdD",258,0.438030560271647,589,1.31856899488927,"#80808014"
"PvdD","Fractie Den Haan",431,0.732993197278912,588,2.20272572402044,"#808080D9"
"PvdD","Ephraim",1,0.00170068027210884,588,0.5,"#80808014"
"PvdD","CDA",299,0.508503401360544,588,1.52810902896082,"#80808014"
"PvdD","BIJ1",496,0.849315068493151,584,2.53492333901193,"#808080D9"
"PvdA","PVV",299,0.508503401360544,588,1.52810902896082,"#80808014"
"PvdA","SGP",360,0.612244897959184,588,1.83986371379898,"#80808014"
"G<U+00FC>ndogan","PvdA",181,0.308347529812606,587,0.92504258943782,"#80808014"
"PvdA","Groep Van Haga",266,0.452380952380952,588,1.35945485519591,"#80808014"
"ChristenUnie","PvdA",431,0.734241908006814,587,2.20272572402044,"#808080D9"
"PvdA","VVD",299,0.508503401360544,588,1.52810902896082,"#80808014"
"PvdA","BBB",321,0.545918367346939,588,1.64054514480409,"#80808014"
"PvdA","JA21",262,0.447098976109215,586,1.33901192504259,"#80808014"
"PvdA","Volt",544,0.926746166950596,587,2.78023850085179,"#808080D9"
"PvdA","SP",497,0.848122866894198,586,2.54003407155026,"#808080D9"
"PvdA","GroenLinks",587,0.998299319727891,588,3,"#808080D9"
"PvdA","DENK",462,0.78839590443686,586,2.36115843270869,"#808080D9"
"FVD","PvdA",236,0.402044293015332,587,1.206132879046,"#80808014"
"PvdA","Fractie Den Haan",462,0.787052810902896,587,2.36115843270869,"#808080D9"
"PvdA","Ephraim",1,0.00170357751277683,587,0.5,"#80808014"
"PvdA","CDA",344,0.58603066439523,587,1.75809199318569,"#80808014"
"PvdA","BIJ1",484,0.830188679245283,583,2.47359454855196,"#808080D9"
"SGP","PVV",379,0.642372881355932,590,1.93696763202726,"#80808014"
"G<U+00FC>ndogan","PVV",128,0.217687074829932,588,0.654173764906303,"#80808014"
"Groep Van Haga","PVV",459,0.777966101694915,590,2.3458262350937,"#808080D9"
"ChristenUnie","PVV",325,0.552721088435374,588,1.66098807495741,"#80808014"
"PVV","VVD",354,0.6,590,1.809199318569,"#80808014"
"PVV","BBB",436,0.738983050847458,590,2.2282793867121,"#808080D9"
"JA21","PVV",451,0.768313458262351,587,2.30494037478705,"#808080D9"
"PVV","Volt",294,0.5,588,1.50255536626917,"#80808014"
"PVV","SP",330,0.562180579216354,587,1.68654173764906,"#80808014"
"PVV","GroenLinks",300,0.508474576271186,590,1.53321976149915,"#80808014"
"DENK","PVV",355,0.603741496598639,588,1.81431005110733,"#80808014"
"FVD","PVV",445,0.755517826825127,589,2.27427597955707,"#808080D9"
"PVV","Fractie Den Haan",294,0.5,588,1.50255536626917,"#80808014"
"Ephraim","PVV",1,0.00170068027210884,588,0.5,"#80808014"
"PVV","CDA",356,0.605442176870748,588,1.81942078364566,"#80808014"
"PVV","BIJ1",288,0.493150684931507,584,1.47189097103918,"#80808014"
"G<U+00FC>ndogan","SGP",173,0.29421768707483,588,0.884156729131175,"#80808014"
"SGP","Groep Van Haga",400,0.677966101694915,590,2.0442930153322,"#80808014"
"ChristenUnie","SGP",446,0.758503401360544,588,2.2793867120954,"#808080D9"
"SGP","VVD",413,0.7,590,2.11073253833049,"#80808014"
"SGP","BBB",451,0.764406779661017,590,2.30494037478705,"#808080D9"
"JA21","SGP",414,0.705281090289608,587,2.11584327086882,"#80808014"
"SGP","Volt",379,0.644557823129252,588,1.93696763202726,"#80808014"
