"from","to","weight","agreements","total_votes","width","color"
"VVD","PVV",0.559070367979342,866,1549,1.68155902643689,"#80808014"
"Volt","PVV",0.467878001297859,721,1541,1.4072727180968,"#80808014"
"PvdA","PvdD",0.898250162022035,1386,1543,2.70173622938708,"#808080D9"
"PvdA","SGP",0.595730918499353,921,1546,1.7918257892129,"#80808014"
"PvdA","SP",0.851875808538163,1317,1546,2.56225251291355,"#808080D9"
"PvdA","VVD",0.538461538461538,833,1547,1.61957226182761,"#80808014"
"Volt","PvdA",0.916937053861129,1413,1541,2.75794223394005,"#808080D9"
"PvdD","SGP",0.551746442432083,853,1546,1.65953029120369,"#80808014"
"PvdD","SP",0.854368932038835,1320,1545,2.56975127258084,"#808080D9"
"PvdD","VVD",0.471881060116354,730,1547,1.41931302657161,"#80808014"
"Volt","PvdD",0.85445094217024,1315,1539,2.56999794077258,"#808080D9"
"SP","SGP",0.582041343669251,901,1548,1.75065060010952,"#80808014"
"VVD","SGP",0.710135571336346,1100,1549,2.13592947930783,"#80808014"
"Volt","SGP",0.618677042801556,954,1542,1.86084261545173,"#80808014"
"SP","VVD",0.493540051679587,764,1548,1.48445844448799,"#80808014"
"Volt","SP",0.819714656290532,1264,1542,2.46551893703458,"#808080D9"
"Volt","VVD",0.569669475048607,879,1543,1.71343877751172,"#80808014"
