"from","to","z_score","raw_weight","agreement_rate","total_votes","weight","width","color"
"ChristenUnie","PvdA",0.773938318677892,1103,0.713915857605178,1545,0.773938318677892,1.88696915933895,"#80808026"
"ChristenUnie","PvdD",0.455686456552939,1004,0.650680492546986,1543,0.455686456552939,1.72784322827647,"#80808026"
"ChristenUnie","SGP",0.851090285253638,1127,0.728978007761966,1546,0.851090285253638,1.92554514262682,"#80808026"
"ChristenUnie","SP",0.532838423128685,1028,0.664941785252264,1546,0.532838423128685,1.76641921156434,"#80808026"
"ChristenUnie","VVD",1.00217955313114,1174,0.758888170652877,1547,1.00217955313114,2.00108977656557,"#4D4D4DCC"
"ChristenUnie","Volt",0.8928809338155,1140,0.739779364049319,1541,0.8928809338155,1.94644046690775,"#80808026"
"D66","DENK",0.410681142717087,990,0.637886597938144,1552,0.410681142717087,1.70534057135854,"#80808026"
"D66","Ephraim",-2.38607764565371,120,0.108597285067873,1105,-2.38607764565371,0.306961177173144,"#80808026"
"D66","FVD",-0.753027686467084,628,0.403858520900322,1555,-0.753027686467084,1.12348615676646,"#80808026"
"D66","Fractie Den Haan",0.519979762032727,1024,0.65979381443299,1552,0.519979762032727,1.75998988101636,"#80808026"
"D66","G<U+00FC>ndogan",-0.122953292765157,824,0.531612903225806,1550,-0.122953292765157,1.43852335361742,"#80808026"
"D66","GroenLinks",0.960388904569278,1161,0.746623794212219,1555,0.960388904569278,1.98019445228464,"#80808026"
"D66","Groep Van Haga",-0.479781138177983,713,0.458226221079692,1556,-0.479781138177983,1.26010943091101,"#80808026"
"D66","JA21",-0.367267853588354,748,0.482892188508715,1549,-0.367267853588354,1.31636607320582,"#80808026"
"D66","Omtzigt",0.442827795456981,1000,0.645577792123951,1549,0.442827795456981,1.72141389772849,"#80808026"
"D66","PVV",-0.547289108931761,692,0.445302445302445,1554,-0.547289108931761,1.22635544553412,"#80808026"
"D66","PvdA",0.953959574021299,1159,0.746778350515464,1552,0.953959574021299,1.97697978701065,"#80808026"
"D66","PvdD",0.56177041059459,1037,0.667739858338699,1553,0.56177041059459,1.78088520529729,"#80808026"
"D66","SGP",0.455686456552939,1004,0.645659163987138,1555,0.455686456552939,1.72784322827647,"#80808026"
"D66","SP",0.481403778744854,1012,0.651222651222651,1554,0.481403778744854,1.74070188937243,"#80808026"
"D66","VVD",1.0150382142271,1178,0.75706940874036,1556,1.0150382142271,2.00751910711355,"#4D4D4DCC"
"D66","Volt",1.08897551552886,1201,0.775839793281654,1548,1.08897551552886,2.04448775776443,"#4D4D4DCC"
"DENK","Ephraim",-2.34107233181786,134,0.122040072859745,1098,-2.34107233181786,0.32946383409107,"#80808026"
"FVD","DENK",-0.322262539752502,762,0.492884864165589,1546,-0.322262539752502,1.33886873012375,"#80808026"
"DENK","Fractie Den Haan",0.863948946349596,1131,0.732512953367876,1544,0.863948946349596,1.9319744731748,"#80808026"
"G<U+00FC>ndogan","DENK",-0.421917163246174,731,0.474059662775616,1542,-0.421917163246174,1.28904141837691,"#80808026"
"DENK","GroenLinks",1.20791813066646,1238,0.800776196636481,1546,1.20791813066646,2.10395906533323,"#4D4D4DCC"
"DENK","Groep Van Haga",-0.0104400081755277,859,0.555268261150614,1547,-0.0104400081755277,1.49477999591224,"#80808026"
"DENK","JA21",-0.158314610779041,813,0.527579493835172,1541,-0.158314610779041,1.42084269461048,"#80808026"
"Omtzigt","DENK",0.471759782922886,1009,0.654769630110318,1541,0.471759782922886,1.73587989146144,"#80808026"
"DENK","PVV",0.124575933332028,901,0.583171521035599,1545,0.124575933332028,1.56228796666601,"#80808026"
"DENK","PvdA",1.20470346539247,1237,0.801685029163966,1543,1.20470346539247,2.10235173269624,"#4D4D4DCC"
"DENK","PvdD",1.09861951135082,1204,0.780298120544394,1543,1.09861951135082,2.04930975567541,"#4D4D4DCC"
"DENK","SGP",0.327099845593362,964,0.623948220064725,1545,0.327099845593362,1.66354992279668,"#80808026"
"DENK","SP",1.31078741943413,1270,0.822538860103627,1544,1.31078741943413,2.15539370971706,"#4D4D4DCC"
"DENK","VVD",-0.0393719956414325,850,0.54945054945055,1547,-0.0393719956414325,1.48031400217928,"#80808026"
"DENK","Volt",1.13076616409072,1214,0.788311688311688,1540,1.13076616409072,2.06538308204536,"#4D4D4DCC"
"FVD","Ephraim",-2.08389910989871,214,0.194545454545455,1100,-2.08389910989871,0.458050445050647,"#80808026"
"Fractie Den Haan","Ephraim",-2.52109358716127,78,0.0709736123748863,1099,-2.52109358716127,0.3,"#80808026"
"G<U+00FC>ndogan","Ephraim",-1.39596074126497,428,0.389799635701275,1098,-1.39596074126497,0.802019629367515,"#80808026"
"GroenLinks","Ephraim",-2.45680028168148,98,0.089171974522293,1099,-2.45680028168148,0.3,"#80808026"
"Ephraim","Groep Van Haga",-2.03889379606285,228,0.206896551724138,1102,-2.03889379606285,0.480553101968573,"#80808026"
"JA21","Ephraim",-2.03567913078886,229,0.208751139471285,1097,-2.03567913078886,0.482160434605568,"#80808026"
"Omtzigt","Ephraim",-1.88780452818535,275,0.250683682771194,1097,-1.88780452818535,0.556097735907325,"#80808026"
"Ephraim","PVV",-2.1449777501045,195,0.177434030937216,1099,-2.1449777501045,0.427511124947748,"#80808026"
"PvdA","Ephraim",-2.46001494695547,97,0.0883424408014572,1098,-2.46001494695547,0.3,"#80808026"
"PvdD","Ephraim",-2.46322961222946,96,0.0873521383075523,1099,-2.46322961222946,0.3,"#80808026"
"Ephraim","SGP",-2.11926042791259,203,0.184713375796178,1099,-2.11926042791259,0.440369786043705,"#80808026"
"SP","Ephraim",-2.39893630674967,116,0.105550500454959,1099,-2.39893630674967,0.300531846625165,"#80808026"
"Ephraim","VVD",-2.20927105558429,175,0.159090909090909,1100,-2.20927105558429,0.395364472207853,"#80808026"
"Volt","Ephraim",-2.42786829421557,107,0.097538742023701,1097,-2.42786829421557,0.3,"#80808026"
"FVD","Fractie Den Haan",-0.900902289070598,582,0.376212023270847,1547,-0.900902289070598,1.0495488554647,"#80808026"
"FVD","G<U+00FC>ndogan",-1.57276733133439,373,0.241423948220065,1545,-1.57276733133439,0.713616334332806,"#80808026"
"FVD","GroenLinks",-0.916975615440545,577,0.372739018087855,1548,-0.916975615440545,1.04151219227973,"#80808026"
"FVD","Groep Van Haga",1.40401271237982,1299,0.838064516129032,1550,1.40401271237982,2.20200635618991,"#4D4D4DCC"
